,page_content
10,"alias: El Palomar
direccion: Avenida Paseos del Palomar 123, Col. El palomar, Tlajomulco de zúñiga, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 2.0
recamaras: 4.0
banos: 3.0
medios_banos: 2.0
cuarto_de_servicio: 0.0
estacionamientos: 6.0
terreno: 587.0
frente: 15.0
fondo: 39.17
construccion: 499.0
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 12990000
mantenimiento: 800
estado: excelente
antiguedad: 8
gravamen: no
descripcion: nan
"
11,"alias: El Vado
direccion: Calle Arsenisca Sur 23, Col. El vado, Tonalá, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 2.0
recamaras: 2.0
banos: 1.0
medios_banos: 1.0
cuarto_de_servicio: 0.0
estacionamientos: 1.0
terreno: 67.5
frente: 4.5
fondo: 15.0
construccion: 67.5
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 1100000
mantenimiento: 0
estado: bueno
antiguedad: 11
gravamen: no
descripcion: nan
"
12,"alias: Fracc. Las Torres
direccion: Almendra, Col. Las torres, Guadalajara, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 2.0
recamaras: 5.0
banos: 2.0
medios_banos: 0.0
cuarto_de_servicio: 0.0
estacionamientos: 2.0
terreno: 100.0
frente: 8.0
fondo: 12.5
construccion: 207.0
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 3000000
mantenimiento: 0
estado: regular
antiguedad: 45
gravamen: si
descripcion: nan
"
13,"alias: La Cúspide
direccion: La cúspide norte 310 14, Col. La cúspide, Zapopan, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 2.0
recamaras: 4.0
banos: 3.0
medios_banos: 0.0
cuarto_de_servicio: 0.0
estacionamientos: 1.0
terreno: 108.5
frente: 16.0
fondo: 6.0
construccion: 204.8
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 985000
mantenimiento: 0
estado: bueno
antiguedad: 0
gravamen: si
descripcion: nan
"
14,"alias: Los Robles
direccion: Calle 6 1754, Col. Campestre los robles, Zapopan, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 2.0
recamaras: 4.0
banos: 2.0
medios_banos: 0.0
cuarto_de_servicio: 0.0
estacionamientos: 2.0
terreno: 287.69
frente: 14.6
fondo: 22.33
construccion: 222.8
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 5990000
mantenimiento: 0
estado: excelente
antiguedad: 11
gravamen: no
descripcion: nan
"
15,"alias: Pinar de la Venta
direccion: Pinar de la Venta, Col. Pinar de la venta, Zapopan, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 3.0
recamaras: 3.0
banos: 3.0
medios_banos: 1.0
cuarto_de_servicio: 1.0
estacionamientos: 3.0
terreno: 1311.0
frente: 40.03
fondo: 32.55
construccion: 329.52
forma: irregular
uso_de_suelo: habitacional
relieve: plano
precio: 10700000
mantenimiento: 1400
estado: bueno
antiguedad: 12
gravamen: no
descripcion: nan
"
16,"alias: Valle de los Encinos II
direccion: Coto Valle del Colomo 566 26, Col. Valle de los encinos, Tlajomulco de zúñiga, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 2.0
recamaras: 2.0
banos: 1.0
medios_banos: 1.0
cuarto_de_servicio: 0.0
estacionamientos: 1.0
terreno: 69.46
frente: 4.3
fondo: 16.14
construccion: 69.46
forma: regular
uso_de_suelo: Habitacional
relieve: plano
precio: 850000
mantenimiento: 0
estado: bueno
antiguedad: 7
gravamen: si
descripcion: nan
"
17,"alias: Villalta 3
direccion: Calle Villa Adelina 1 5-A, Col. Villalta, Tlajomulco de zúñiga, Jalisco
tipo_de_propiedad: casa
amueblado: nan
niveles: 2.0
recamaras: 3.0
banos: 1.0
medios_banos: 1.0
cuarto_de_servicio: 0.0
estacionamientos: 1.0
terreno: 72.0
frente: 6.0
fondo: 12.0
construccion: 70.94
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 1250000
mantenimiento: 130
estado: excelente
antiguedad: 10
gravamen: si
descripcion: nan
"
18,"alias: Distrito Chapultepec
direccion: Calle Vidrio 1984 Int. 2A, Col. Moderna, Guadalajara, Jalisco
tipo_de_propiedad: departamento
amueblado: nan
niveles: 1.0
recamaras: 3.0
banos: 2.0
medios_banos: 0.0
cuarto_de_servicio: 0.0
estacionamientos: 1.0
terreno: 95.66
frente: nan
fondo: nan
construccion: 95.66
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 5740000
mantenimiento: 0
estado: excelente
antiguedad: 3
gravamen: no
descripcion: nan
"
19,"alias: Lobby 33
direccion: Avenida Patria 1891 VPV129, Col. Puerta de hierro, Zapopan, Jalisco
tipo_de_propiedad: departamento
amueblado: si
niveles: 1.0
recamaras: 3.0
banos: 3.0
medios_banos: 1.0
cuarto_de_servicio: 1.0
estacionamientos: 2.0
terreno: 217.5
frente: nan
fondo: nan
construccion: 217.5
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 19500000
mantenimiento: 11300
estado: excelente
antiguedad: 3
gravamen: no
descripcion: nan
"
20,"alias: Paseos del Sol
direccion: Araceli Souza 5189 Departamento 5, Col. Paseos del sol, Zapopan, Jalisco
tipo_de_propiedad: departamento
amueblado: nan
niveles: 1.0
recamaras: 2.0
banos: 1.0
medios_banos: 0.0
cuarto_de_servicio: 0.0
estacionamientos: 1.0
terreno: 78.39
frente: nan
fondo: nan
construccion: 78.39
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 2650000
mantenimiento: 0
estado: bueno
antiguedad: 40
gravamen: no
descripcion: nan
"
21,"alias: RVT W-1106 Penthouse
direccion: Av. Santa Margarita 3600 W-1106, Col. Residencial poniente, Zapopan, Jalisco
tipo_de_propiedad: departamento
amueblado: nan
niveles: 1.0
recamaras: 3.0
banos: 3.0
medios_banos: 0.0
cuarto_de_servicio: 1.0
estacionamientos: 3.0
terreno: 192.0
frente: nan
fondo: nan
construccion: 192.0
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 11200000
mantenimiento: 0
estado: excelente
antiguedad: 2
gravamen: no
descripcion: nan
"
22,"alias: Toren 54 Loft B
direccion: Av. guadalupe 4654 b-604 loft, Col. Jardines de guadalupe, Zapopan, Jalisco
tipo_de_propiedad: departamento
amueblado: nan
niveles: 2.0
recamaras: 1.0
banos: 1.0
medios_banos: 1.0
cuarto_de_servicio: 0.0
estacionamientos: 1.0
terreno: 73.82
frente: nan
fondo: nan
construccion: 73.82
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 4394000
mantenimiento: 0
estado: excelente
antiguedad: 0
gravamen: no
descripcion: nan
"
23,"alias: Bitloft
direccion: Cristobal Colón 590 113, Col. Mexicaltzingo, Guadalajara, Jalisco
tipo_de_propiedad: departamento
amueblado: nan
niveles: 2.0
recamaras: 2.0
banos: 2.0
medios_banos: 0.0
cuarto_de_servicio: 2.0
estacionamientos: 1.0
terreno: 57.93
frente: nan
fondo: nan
construccion: 88.24
forma: regular
uso_de_suelo: habitacional, comercial y turistico
relieve: plano
precio: 4070009
mantenimiento: 1350
estado: excelente
antiguedad: 0
gravamen: no
descripcion: nan
"
24,"alias: Agua Blanca
direccion: Vicente Guerrero 67, Col. Agua blanca, Zapopan, Jalisco
tipo_de_propiedad: local
amueblado: nan
niveles: 2.0
recamaras: 0.0
banos: 0.0
medios_banos: 0.0
cuarto_de_servicio: 0.0
estacionamientos: 0.0
terreno: 309.0
frente: 6.79
fondo: 18.9
construccion: 571.48
forma: regular
uso_de_suelo: comercial 
relieve: plano
precio: 4900000
mantenimiento: 0
estado: regular
antiguedad: 30
gravamen: no
descripcion: nan
"
25,"alias: Tribu Bitloft
direccion: Colón 590 2, Col. Mexicaltzingo, Guadalajara, Jalisco
tipo_de_propiedad: local
amueblado: nan
niveles: 0.0
recamaras: 0.0
banos: 0.0
medios_banos: 1.0
cuarto_de_servicio: 0.0
estacionamientos: 1.0
terreno: 100.87
frente: nan
fondo: nan
construccion: 100.87
forma: regular
uso_de_suelo: comercial 
relieve: plano
precio: 4581495
mantenimiento: 0
estado: excelente
antiguedad: 0
gravamen: si
descripcion: nan
"
26,"alias: Jardines del Bosque
direccion: Calle Cenit 1220, Col. Jardines del bosque norte, Guadalajara, Jalisco
tipo_de_propiedad: casa, oficina
amueblado: nan
niveles: 1.0
recamaras: 4.0
banos: 0.0
medios_banos: 2.0
cuarto_de_servicio: 0.0
estacionamientos: 5.0
terreno: 273.0
frente: 10.8
fondo: 25.3
construccion: 191.0
forma: regular
uso_de_suelo: comercial, habitacional
relieve: plano
precio: 6990000
mantenimiento: 0
estado: bueno
antiguedad: 40
gravamen: si
descripcion: nan
"
27,"alias: Golfo de Cortés
direccion: Golfo de Hernán Cortés 2969 3,4,5, Col. Vallarta san jorge, Guadalajara, Jalisco
tipo_de_propiedad: plaza comercial
amueblado: nan
niveles: 2.0
recamaras: 13.0
banos: 0.0
medios_banos: 13.0
cuarto_de_servicio: 0.0
estacionamientos: 16.0
terreno: 993.5
frente: nan
fondo: nan
construccion: 876.0
forma: regular
uso_de_suelo: comercial 
relieve: plano
precio: 59000000
mantenimiento: 0
estado: excelente
antiguedad: 15
gravamen: no
descripcion: nan
"
28,"alias: Boskania, Atemajac de Brizuela
direccion: Circuito Boskania 76 M10, Col. Atemajac de brizuela, Atemajac de brizuela, Jalisco
tipo_de_propiedad: terreno
amueblado: nan
niveles: nan
recamaras: nan
banos: nan
medios_banos: nan
cuarto_de_servicio: nan
estacionamientos: nan
terreno: 838.59
frente: 11.6
fondo: nan
construccion: nan
forma: regular
uso_de_suelo: habitacional, turistico 
relieve: plano
precio: 747000
mantenimiento: 0
estado: excelente
antiguedad: 0
gravamen: no
descripcion: nan
"
29,"alias: Chapala
direccion: Carretera Chapala-Ajijic km 3.3, Col. Chulavista, Chapala, Jalisco
tipo_de_propiedad: terreno
amueblado: nan
niveles: nan
recamaras: nan
banos: nan
medios_banos: nan
cuarto_de_servicio: nan
estacionamientos: nan
terreno: 27958.0
frente: 140.0
fondo: 43.95
construccion: nan
forma: regular
uso_de_suelo: comercial, habitacional
relieve: plano
precio: 56700000
mantenimiento: 0
estado: excelente
antiguedad: 0
gravamen: no
descripcion: nan
"
30,"alias: Ixtlahuacan
direccion: San Juan Evnagelista 50 A, Col. Santa rosa (la hacienda de santa rosa), Ixtlahuacán de los
membrillos, Jalisco
tipo_de_propiedad: terreno
amueblado: nan
niveles: nan
recamaras: nan
banos: nan
medios_banos: nan
cuarto_de_servicio: nan
estacionamientos: nan
terreno: 10650.0
frente: nan
fondo: nan
construccion: nan
forma: regular
uso_de_suelo: comercial, habitacional, turistico
relieve: plano
precio: 11000000
mantenimiento: 0
estado: bueno
antiguedad: 0
gravamen: no
descripcion: nan
"
31,"alias: La vista, lote 3
direccion: Av. Privada del Acantilado 3231 3, Col. La vista, Zapopan, Jalisco
tipo_de_propiedad: terreno
amueblado: nan
niveles: nan
recamaras: nan
banos: nan
medios_banos: nan
cuarto_de_servicio: nan
estacionamientos: nan
terreno: 200.82
frente: 8.84
fondo: 2.91
construccion: nan
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 2900000
mantenimiento: 1600
estado: excelente
antiguedad: 0
gravamen: no
descripcion: nan
"
32,"alias: Sierra Mazati Tapalpa
direccion: Carretera tapalpa - Chiquilistlan Venado 1b, Col. Chiquilistlan, Chiquilistlán, Jalisco
tipo_de_propiedad: terreno
amueblado: nan
niveles: nan
recamaras: nan
banos: nan
medios_banos: nan
cuarto_de_servicio: nan
estacionamientos: nan
terreno: 6127.0
frente: nan
fondo: nan
construccion: nan
forma: regular
uso_de_suelo: habitacional, turistico 
relieve: plano
precio: 1500000
mantenimiento: 0
estado: excelente
antiguedad: 0
gravamen: no
descripcion: nan
"
33,"alias: Mazati Villa Oyamel
direccion: Ruta de los Sauces Oyamel 1- C, Col. Chiquilistlan, Chiquilistlán, Jalisco
tipo_de_propiedad: terreno
amueblado: nan
niveles: nan
recamaras: nan
banos: nan
medios_banos: nan
cuarto_de_servicio: nan
estacionamientos: nan
terreno: 2500.0
frente: 48.8
fondo: 67.06
construccion: nan
forma: regular
uso_de_suelo: habitacional, turistico 
relieve: plano
precio: 1000000
mantenimiento: 500
estado: excelente
antiguedad: 0
gravamen: no
descripcion: nan
"
34,"alias: Puerto Vallarta
direccion: Allende 503, Col. El cerro, Puerto vallarta, Jalisco
tipo_de_propiedad: terreno
amueblado: nan
niveles: nan
recamaras: nan
banos: nan
medios_banos: nan
cuarto_de_servicio: nan
estacionamientos: nan
terreno: 227.0
frente: nan
fondo: nan
construccion: nan
forma: regular
uso_de_suelo: habitacional, turistico 
relieve: plano
precio: 5500000
mantenimiento: 0
estado: excelente
antiguedad: 13
gravamen: no
descripcion: nan
"
35,"alias: El Alamo
direccion: Calzada Delicias 544, Col. El álamo, San pedro tlaquepaque, Jalisco
tipo_de_propiedad: terreno
amueblado: nan
niveles: nan
recamaras: nan
banos: nan
medios_banos: nan
cuarto_de_servicio: nan
estacionamientos: nan
terreno: 3299.0
frente: 29.85
fondo: 25.46
construccion: nan
forma: regular
uso_de_suelo: comercial, habitacional, turistico
relieve: plano
precio: 62000000
mantenimiento: 0
estado: bueno
antiguedad: 0
gravamen: no
descripcion: nan
"
36,"alias: San Jose El Quince
direccion: Constitución Lote 11 Manzana #35, Col. San josé del quince, El salto, Jalisco
tipo_de_propiedad: terreno
amueblado: nan
niveles: nan
recamaras: nan
banos: nan
medios_banos: nan
cuarto_de_servicio: nan
estacionamientos: nan
terreno: 240.0
frente: 8.0
fondo: 30.0
construccion: nan
forma: regular
uso_de_suelo: comercial, habitacional
relieve: plano
precio: 500000
mantenimiento: 0
estado: bueno
antiguedad: 0
gravamen: no
descripcion: nan
"
37,"alias: Santa Cruz de la Loma
direccion: Juárez, Col. Santa cruz de la loma (tepetates), Tlajomulco de zúñiga, Jalisco
tipo_de_propiedad: terreno
amueblado: nan
niveles: nan
recamaras: nan
banos: nan
medios_banos: nan
cuarto_de_servicio: nan
estacionamientos: nan
terreno: 280.04
frente: 20.44
fondo: 13.7
construccion: nan
forma: regular
uso_de_suelo: comercial 
relieve: plano
precio: 776000
mantenimiento: 0
estado: excelente
antiguedad: 0
gravamen: no
descripcion: nan
"
38,"alias: Santa Cruz de la Loma
direccion: Pino Suárez, Col. Santa cruz de la loma (tepetates), Tlajomulco de zúñiga, Jalisco
tipo_de_propiedad: terreno
amueblado: nan
niveles: nan
recamaras: nan
banos: nan
medios_banos: nan
cuarto_de_servicio: nan
estacionamientos: nan
terreno: 149.5
frente: 8.0
fondo: 18.69
construccion: nan
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 378800
mantenimiento: 0
estado: excelente
antiguedad: 0
gravamen: no
descripcion: nan
"
39,"alias: Sendas Residencial
direccion: Rinconada del Agapando 21, Col. Nuevo méxico, Zapopan, Jalisco
tipo_de_propiedad: terreno
amueblado: nan
niveles: nan
recamaras: nan
banos: nan
medios_banos: nan
cuarto_de_servicio: nan
estacionamientos: nan
terreno: 122.23
frente: 7.55
fondo: nan
construccion: nan
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 1550000
mantenimiento: 850
estado: excelente
antiguedad: 0
gravamen: si
descripcion: nan
"
40,"alias: El Tizate, 2 y 3
direccion: Carretera Tapalpa-Guadalajara Km. 7.33, Col. Tapalpa, Tapalpa, Jalisco
tipo_de_propiedad: terreno
amueblado: nan
niveles: nan
recamaras: nan
banos: nan
medios_banos: nan
cuarto_de_servicio: nan
estacionamientos: nan
terreno: 20000.0
frente: 60.0
fondo: 334.0
construccion: nan
forma: regular
uso_de_suelo: comercial, habitacional, turistico
relieve: plano
precio: 14000000
mantenimiento: 0
estado: excelente
antiguedad: 0
gravamen: no
descripcion: nan
"
41,"alias: Potrero
direccion: Francisco I. Madero, Col. Tapalpa, Tapalpa, Jalisco
tipo_de_propiedad: terreno
amueblado: nan
niveles: nan
recamaras: nan
banos: nan
medios_banos: nan
cuarto_de_servicio: nan
estacionamientos: nan
terreno: 28238.11
frente: 166.1
fondo: 170.0
construccion: nan
forma: regular
uso_de_suelo: comercial, habitacional, turistico
relieve: plano
precio: 31061921
mantenimiento: 0
estado: excelente
antiguedad: 0
gravamen: no
descripcion: nan
"
42,"alias: Valle de San Jose
direccion: Torrecillas, Fraccionamiento Valla de San Jose Manzana 4 Número 3, Col. Tapalpa, Tapalpa,
Jalisco
tipo_de_propiedad: terreno
amueblado: nan
niveles: nan
recamaras: nan
banos: nan
medios_banos: nan
cuarto_de_servicio: nan
estacionamientos: nan
terreno: 2323.0
frente: 101.0
fondo: 23.0
construccion: nan
forma: regular
uso_de_suelo: habitacional, turistico 
relieve: plano
precio: 2200000
mantenimiento: 0
estado: bueno
antiguedad: 0
gravamen: no
descripcion: nan
"
43,"alias: Valle Imperial
direccion: Avenida Paseo de los Emperadores Lote 17, Col. Valle imperial, Zapopan, Jalisco
tipo_de_propiedad: terreno
amueblado: nan
niveles: nan
recamaras: nan
banos: nan
medios_banos: nan
cuarto_de_servicio: nan
estacionamientos: nan
terreno: 270.54
frente: nan
fondo: nan
construccion: nan
forma: regular
uso_de_suelo: habitacional
relieve: plano
precio: 3300000
mantenimiento: 0
estado: excelente
antiguedad: 0
gravamen: no
descripcion: nan
"
